Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-18,14:37:38,16:25:12,01:47:34,00:53:23,40,1,13.29,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-18,16:44:40,18:23:57,01:39:17,00:19:28,32,1,12.92,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-18,19:10:39,19:57:52,00:47:13,00:46:42,37,1,7.02,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-18,20:29:45,21:33:25,01:03:40,00:31:53,43,1,5.68,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-18,22:15:07,22:51:17,00:36:10,00:41:42,18,1,7.28,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-18,Vehiculo: 02,,,11:05:42,05:39:43,306,"8,00",83.93,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-19,06:33:28,07:18:38,00:45:10,00:00:00,40,1,5.45,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-19,08:33:46,09:37:54,01:04:08,01:15:08,26,1,8.06,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-19,12:29:34,14:18:44,01:49:10,02:51:40,60,1,15.02,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-19,15:18:57,17:12:39,01:53:42,01:00:13,21,1,14.82,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-19,17:22:18,19:42:38,02:20:20,00:09:39,64,1,4.73,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-19,20:03:33,21:29:42,01:26:09,00:20:55,42,1,5.6,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-19,21:43:38,22:56:43,01:13:05,00:13:56,43,1,12.88,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-19,Vehiculo: 02,,,10:31:44,05:51:31,296,"7,00",66.56,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-22,05:32:36,07:10:24,01:37:48,00:00:00,57,1,11.77,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-22,07:38:49,09:50:28,02:11:39,00:28:25,52,1,12.52,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-22,09:50:28,12:53:47,03:03:19,00:00:00,26,1,16.82,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-22,14:00:05,15:36:07,01:36:02,01:06:18,24,1,13.55,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-22,16:21:13,18:54:38,02:33:25,00:45:06,40,1,15.92,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-22,18:54:38,20:50:41,01:56:03,00:00:00,31,1,13.98,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-22,20:56:16,22:30:40,01:34:24,00:05:35,29,1,16.22,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-22,Vehiculo: 02,,,14:32:40,02:25:24,259,"7,00",100.78,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-23,05:46:25,07:29:41,01:43:16,00:00:00,41,1,13.88,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-23,08:07:06,10:07:19,02:00:13,00:37:25,51,1,15.68,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-23,10:21:28,12:46:46,02:25:18,00:14:09,36,1,15.39,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-23,12:46:28,14:53:58,02:07:30,00:00:00,29,1,16.02,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-23,15:33:39,17:21:16,01:47:37,00:39:41,35,1,14.4,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-23,17:33:28,19:32:45,01:59:17,00:12:12,56,1,14.26,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-23,19:41:44,21:02:04,01:20:20,00:08:59,33,1,13.94,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-23,21:17:36,22:34:00,01:16:24,00:15:32,28,1,13.2,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-23,Vehiculo: 02,,,14:39:55,02:07:58,309,"8,00",116.77,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
